Subsector,Gas,Edgar_Class,Edgar_Subsector,Edgar_Sector,Vars,ids,IND,PRY,KAZ,MNG,TUN,GAB,LBR,BWA,MWI,MOZ,RWA,SOM,ZMB,SLE,BEN,ETH,MRT,NER,TGO,IRN,UGA
ippu,co2,IN - Industrial Processes:CO2,IN - Industrial Processes,Industrial Processes,emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_lime_and_carbonite:emission_co2e_co2_ippu_production_metals:emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax,22:ippu:co2,213.8897881,0.626393195,14.45149519,0.558349907,3.14094695,0.238101965,0.196759241,0.353800311,0.171052667,2.236209253,0.231111727,0.039595431,1.458774624,0.173769706,1.07399773,4.565121451,0.336074437,0.208877842,0.698406404,57.80778164,1.76561177
ippu,ch4,IN - Industrial Processes:CH4,IN - Industrial Processes,Industrial Processes,emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper:emission_co2e_ch4_ippu_production_plastic,23:ippu:ch4,0.368755486,0.000434351,0.088029077,0,0,0.000726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443518328,0
ippu,n2o,IN - Industrial Processes:N2O,IN - Industrial Processes,Industrial Processes,emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper:emission_co2e_n2o_ippu_production_plastic,24:ippu:n2o,15.97103958,0.288589232,1.067106158,0.0944987,0.510035939,0.125255488,0.116127908,0.267710703,0.25448372,2.583423189,0.097742898,0.201380482,1.01625143,0.109344775,0.216608282,1.292268833,0.087135782,0.103824307,0.1565589,6.225539085,0.534607383
ippu,c2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c2f6_ippu_product_use_product_use_ods_other:emission_co2e_c2f6_ippu_production_chemicals:emission_co2e_c2f6_ippu_production_electronics:emission_co2e_c2f6_ippu_production_metals,25:ippu:c2f6,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c2h3f3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2h3f3_ippu_production_chemicals,26:ippu:c2h3f3,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c2hf5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c2hf5_ippu_product_use_product_use_ods_other:emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2hf5_ippu_production_chemicals,27:ippu:c2hf5,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c3f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c3f8_ippu_production_chemicals:emission_co2e_c3f8_ippu_production_electronics,28:ippu:c3f8,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c3h2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other:emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration,29:ippu:c3h2f6,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c3h3f5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other:emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration,30:ippu:c3h3f5,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c3hf7,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c3hf7_ippu_product_use_product_use_ods_other:emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c3hf7_ippu_production_chemicals,31:ippu:c3hf7,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c4f10,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c4f10_ippu_product_use_product_use_ods_other:emission_co2e_c4f10_ippu_production_chemicals,32:ippu:c4f10,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c4f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c4f6_ippu_production_electronics,33:ippu:c4f6,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c4h5f5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c4h5f5_ippu_product_use_product_use_ods_other:emission_co2e_c4h5f5_ippu_production_chemicals,34:ippu:c4h5f5,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c5f12,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c5f12_ippu_production_chemicals,35:ippu:c5f12,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c5f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c5f8_ippu_production_electronics,36:ippu:c5f8,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c5h2f10,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c5h2f10_ippu_product_use_product_use_ods_other,37:ippu:c5h2f10,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,c6f14,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_c6f14_ippu_product_use_product_use_ods_other:emission_co2e_c6f14_ippu_production_chemicals,38:ippu:c6f14,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,cc4f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_cc4f8_ippu_production_chemicals:emission_co2e_cc4f8_ippu_production_electronics,39:ippu:cc4f8,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,cf4,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_cf4_ippu_product_use_product_use_ods_other:emission_co2e_cf4_ippu_production_chemicals:emission_co2e_cf4_ippu_production_electronics:emission_co2e_cf4_ippu_production_metals,40:ippu:cf4,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,ch2f2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_ch2f2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch2f2_ippu_production_chemicals:emission_co2e_ch2f2_ippu_production_electronics,41:ippu:ch2f2,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,ch2fchf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_ch2fchf2_ippu_product_use_product_use_ods_other,42:ippu:ch2fchf2,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,ch3cci2f,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_ch3cci2f_ippu_product_use_product_use_ods_other,43:ippu:ch3cci2f,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,ch3ccif2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_ch3ccif2_ippu_product_use_product_use_ods_other,44:ippu:ch3ccif2,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,ch3chf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_ch3chf2_ippu_product_use_product_use_ods_other:emission_co2e_ch3chf2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch3chf2_ippu_production_chemicals,45:ippu:ch3chf2,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,ch3f,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_ch3f_ippu_production_electronics,46:ippu:ch3f,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,chf2cf3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_chf2cf3_ippu_product_use_product_use_ods_other:emission_co2e_chf2cf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf2cf3_ippu_production_chemicals,47:ippu:chf2cf3,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,chf2chf2,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_chf2chf2_ippu_product_use_product_use_ods_other,48:ippu:chf2chf2,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,chf3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_chf3_ippu_product_use_product_use_ods_other:emission_co2e_chf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf3_ippu_production_chemicals:emission_co2e_chf3_ippu_production_electronics,49:ippu:chf3,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,hfcs,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_hfcs_ippu_product_use_product_use_ods_other:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration:emission_co2e_hfcs_ippu_production_chemicals:emission_co2e_hfcs_ippu_production_electronics:emission_co2e_hfcs_ippu_production_metals,50:ippu:hfcs,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,other_fcs,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,emission_co2e_other_fcs_ippu_product_use_product_use_ods_other:emission_co2e_other_fcs_ippu_production_chemicals:emission_co2e_other_fcs_ippu_production_electronics,51:ippu:other_fcs,2.10145337,0.023604781,0.041407831,0,0.053307464,0.039538008,0,0.014425144,0.014162868,0.011395863,0,0.05914309,0,0,0.031210766,0,0.026817654,0.020949243,0.026161966,0.498913275,0
ippu,pfcs,IN - Industrial Processes:PFC,IN - Industrial Processes,Industrial Processes,emission_co2e_pfcs_ippu_product_use_product_use_ods_other:emission_co2e_pfcs_ippu_production_chemicals:emission_co2e_pfcs_ippu_production_electronics:emission_co2e_pfcs_ippu_production_other_product_manufacturing,52:ippu:pfcs,0.6898733,0,0.648780921,0,0,0,0,0,0,0.092983909,0,0,0,0,0,0,0,0,0,0.054309121,0
ippu,sf6,IN - Industrial Processes:SF6,IN - Industrial Processes,Industrial Processes,emission_co2e_sf6_ippu_production_chemicals:emission_co2e_sf6_ippu_production_electronics:emission_co2e_sf6_ippu_production_metals:emission_co2e_sf6_ippu_production_other_product_manufacturing,53:ippu:sf6,8.516967217,0,0.002744441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.522526196,0
