"Year","Gas","CSC.Sector","CSC.Subsector","value","Edgar_Class","strategy_id","primary_id","strategy","Code","design_id","Contry","source","future_id","ids"
2034,"All GHG","Energy","EN - Building",4.39983021351395,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2034,"All GHG","Energy","EN - Building",4.39983021351395,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2035,"All GHG","Energy","EN - Building",4.46453359900681,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2035,"All GHG","Energy","EN - Building",4.46453359900681,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2036,"All GHG","Energy","EN - Building",4.52923698449966,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2036,"All GHG","Energy","EN - Building",4.52923698449966,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2037,"All GHG","Energy","EN - Building",4.59394036999251,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2037,"All GHG","Energy","EN - Building",4.59394036999251,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2038,"All GHG","Energy","EN - Building",4.65864375548536,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2038,"All GHG","Energy","EN - Building",4.65864375548536,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2039,"All GHG","Energy","EN - Building",4.72334714097821,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2039,"All GHG","Energy","EN - Building",4.72334714097821,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2040,"All GHG","Energy","EN - Building",4.78805052647107,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2040,"All GHG","Energy","EN - Building",4.78805052647107,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2041,"All GHG","Energy","EN - Building",4.85275391196392,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2041,"All GHG","Energy","EN - Building",4.85275391196392,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2042,"All GHG","Energy","EN - Building",4.91745729745677,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2042,"All GHG","Energy","EN - Building",4.91745729745677,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2043,"All GHG","Energy","EN - Building",4.98216068294962,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2043,"All GHG","Energy","EN - Building",4.98216068294962,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2044,"All GHG","Energy","EN - Building",5.04686406844248,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2044,"All GHG","Energy","EN - Building",5.04686406844248,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2045,"All GHG","Energy","EN - Building",5.11156745393533,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2045,"All GHG","Energy","EN - Building",5.11156745393533,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2046,"All GHG","Energy","EN - Building",5.17627083942818,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2046,"All GHG","Energy","EN - Building",5.17627083942818,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2047,"All GHG","Energy","EN - Building",5.24097422492103,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2047,"All GHG","Energy","EN - Building",5.24097422492103,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2048,"All GHG","Energy","EN - Building",5.30567761041388,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2048,"All GHG","Energy","EN - Building",5.30567761041388,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2049,"All GHG","Energy","EN - Building",5.37038099590674,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2049,"All GHG","Energy","EN - Building",5.37038099590674,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2050,"All GHG","Energy","EN - Building",5.43508438139959,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2050,"All GHG","Energy","EN - Building",5.43508438139959,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2022,"CH4","Energy","EN - Industrial Combustion",0.336202757565838,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2022,"CH4","Energy","EN - Industrial Combustion",0.336202757565838,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2023,"CH4","Energy","EN - Industrial Combustion",0.342206378236657,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2023,"CH4","Energy","EN - Industrial Combustion",0.342206378236657,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2024,"CH4","Energy","EN - Industrial Combustion",0.348209998907475,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2024,"CH4","Energy","EN - Industrial Combustion",0.348209998907475,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2025,"CH4","Energy","EN - Industrial Combustion",0.354213619578294,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2025,"CH4","Energy","EN - Industrial Combustion",0.354213619578294,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2026,"CH4","Energy","EN - Industrial Combustion",0.360217240249112,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2026,"CH4","Energy","EN - Industrial Combustion",0.360217240249112,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2027,"CH4","Energy","EN - Industrial Combustion",0.366220860919931,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2027,"CH4","Energy","EN - Industrial Combustion",0.366220860919931,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2028,"CH4","Energy","EN - Industrial Combustion",0.372224481590749,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2028,"CH4","Energy","EN - Industrial Combustion",0.372224481590749,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2029,"CH4","Energy","EN - Industrial Combustion",0.378228102261568,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2029,"CH4","Energy","EN - Industrial Combustion",0.378228102261568,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2030,"CH4","Energy","EN - Industrial Combustion",0.384231722932386,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2030,"CH4","Energy","EN - Industrial Combustion",0.384231722932386,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2031,"CH4","Energy","EN - Industrial Combustion",0.390235343603205,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2031,"CH4","Energy","EN - Industrial Combustion",0.390235343603205,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2032,"CH4","Energy","EN - Industrial Combustion",0.396238964274023,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2032,"CH4","Energy","EN - Industrial Combustion",0.396238964274023,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2033,"CH4","Energy","EN - Industrial Combustion",0.402242584944842,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2033,"CH4","Energy","EN - Industrial Combustion",0.402242584944842,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2034,"CH4","Energy","EN - Industrial Combustion",0.40824620561566,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2034,"CH4","Energy","EN - Industrial Combustion",0.40824620561566,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2035,"CH4","Energy","EN - Industrial Combustion",0.414249826286479,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2035,"CH4","Energy","EN - Industrial Combustion",0.414249826286479,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2036,"CH4","Energy","EN - Industrial Combustion",0.420253446957298,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2036,"CH4","Energy","EN - Industrial Combustion",0.420253446957298,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2037,"CH4","Energy","EN - Industrial Combustion",0.426257067628116,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2037,"CH4","Energy","EN - Industrial Combustion",0.426257067628116,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2038,"CH4","Energy","EN - Industrial Combustion",0.432260688298935,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2038,"CH4","Energy","EN - Industrial Combustion",0.432260688298935,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2039,"CH4","Energy","EN - Industrial Combustion",0.438264308969753,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2039,"CH4","Energy","EN - Industrial Combustion",0.438264308969753,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2040,"CH4","Energy","EN - Industrial Combustion",0.444267929640572,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2040,"CH4","Energy","EN - Industrial Combustion",0.444267929640572,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2041,"CH4","Energy","EN - Industrial Combustion",0.45027155031139,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2041,"CH4","Energy","EN - Industrial Combustion",0.45027155031139,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2042,"CH4","Energy","EN - Industrial Combustion",0.456275170982209,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2042,"CH4","Energy","EN - Industrial Combustion",0.456275170982209,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2043,"CH4","Energy","EN - Industrial Combustion",0.462278791653027,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2043,"CH4","Energy","EN - Industrial Combustion",0.462278791653027,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2044,"CH4","Energy","EN - Industrial Combustion",0.468282412323846,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2044,"CH4","Energy","EN - Industrial Combustion",0.468282412323846,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2045,"CH4","Energy","EN - Industrial Combustion",0.474286032994664,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2045,"CH4","Energy","EN - Industrial Combustion",0.474286032994664,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2046,"CH4","Energy","EN - Industrial Combustion",0.480289653665483,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2046,"CH4","Energy","EN - Industrial Combustion",0.480289653665483,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2047,"CH4","Energy","EN - Industrial Combustion",0.486293274336301,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2047,"CH4","Energy","EN - Industrial Combustion",0.486293274336301,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2048,"CH4","Energy","EN - Industrial Combustion",0.49229689500712,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2048,"CH4","Energy","EN - Industrial Combustion",0.49229689500712,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2049,"CH4","Energy","EN - Industrial Combustion",0.498300515677939,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2049,"CH4","Energy","EN - Industrial Combustion",0.498300515677939,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2050,"CH4","Energy","EN - Industrial Combustion",0.504304136348757,"EN - Industrial Combustion:CH4",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:BAU"
2050,"CH4","Energy","EN - Industrial Combustion",0.504304136348757,"EN - Industrial Combustion:CH4",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CH4:0:ASP"
2022,"CO2","Energy","EN - Industrial Combustion",0.1343966126477,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2022,"CO2","Energy","EN - Industrial Combustion",0.1343966126477,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2023,"CO2","Energy","EN - Industrial Combustion",0.136796552159266,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2023,"CO2","Energy","EN - Industrial Combustion",0.136796552159266,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2024,"CO2","Energy","EN - Industrial Combustion",0.139196491670832,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2024,"CO2","Energy","EN - Industrial Combustion",0.139196491670832,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2025,"CO2","Energy","EN - Industrial Combustion",0.141596431182398,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2025,"CO2","Energy","EN - Industrial Combustion",0.141596431182398,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2026,"CO2","Energy","EN - Industrial Combustion",0.143996370693964,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2026,"CO2","Energy","EN - Industrial Combustion",0.143996370693964,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2027,"CO2","Energy","EN - Industrial Combustion",0.14639631020553,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2027,"CO2","Energy","EN - Industrial Combustion",0.14639631020553,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2028,"CO2","Energy","EN - Industrial Combustion",0.148796249717096,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2028,"CO2","Energy","EN - Industrial Combustion",0.148796249717096,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2029,"CO2","Energy","EN - Industrial Combustion",0.151196189228663,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2029,"CO2","Energy","EN - Industrial Combustion",0.151196189228663,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2030,"CO2","Energy","EN - Industrial Combustion",0.153596128740229,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2030,"CO2","Energy","EN - Industrial Combustion",0.153596128740229,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2031,"CO2","Energy","EN - Industrial Combustion",0.155996068251795,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2031,"CO2","Energy","EN - Industrial Combustion",0.155996068251795,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2032,"CO2","Energy","EN - Industrial Combustion",0.158396007763361,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2032,"CO2","Energy","EN - Industrial Combustion",0.158396007763361,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2033,"CO2","Energy","EN - Industrial Combustion",0.160795947274927,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
2033,"CO2","Energy","EN - Industrial Combustion",0.160795947274927,"EN - Industrial Combustion:CO2",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:ASP"
2034,"CO2","Energy","EN - Industrial Combustion",0.163195886786493,"EN - Industrial Combustion:CO2",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Industrial Combustion:CO2:0:BAU"
