"Year","Gas","CSC.Sector","CSC.Subsector","value","Edgar_Class","strategy_id","primary_id","strategy","Code","design_id","Contry","source","future_id","ids"
2022,"All GHG","Energy","EN - Building",3.62338958759973,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2022,"All GHG","Energy","EN - Building",3.62338958759973,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2023,"All GHG","Energy","EN - Building",3.68809297309258,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2023,"All GHG","Energy","EN - Building",3.68809297309258,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2024,"All GHG","Energy","EN - Building",3.75279635858543,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2024,"All GHG","Energy","EN - Building",3.75279635858543,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2025,"All GHG","Energy","EN - Building",3.81749974407828,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2025,"All GHG","Energy","EN - Building",3.81749974407828,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2026,"All GHG","Energy","EN - Building",3.88220312957114,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2026,"All GHG","Energy","EN - Building",3.88220312957114,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2027,"All GHG","Energy","EN - Building",3.94690651506399,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2027,"All GHG","Energy","EN - Building",3.94690651506399,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2028,"All GHG","Energy","EN - Building",4.01160990055684,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2028,"All GHG","Energy","EN - Building",4.01160990055684,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2029,"All GHG","Energy","EN - Building",4.07631328604969,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2029,"All GHG","Energy","EN - Building",4.07631328604969,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2030,"All GHG","Energy","EN - Building",4.14101667154254,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2030,"All GHG","Energy","EN - Building",4.14101667154254,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2031,"All GHG","Energy","EN - Building",4.2057200570354,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2031,"All GHG","Energy","EN - Building",4.2057200570354,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2032,"All GHG","Energy","EN - Building",4.27042344252825,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2032,"All GHG","Energy","EN - Building",4.27042344252825,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
2033,"All GHG","Energy","EN - Building",4.3351268280211,"EN - Building:All GHG",0,0,"BAU","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:BAU"
2033,"All GHG","Energy","EN - Building",4.3351268280211,"EN - Building:All GHG",0,0,"ASP","UGA",0,"uganda","SISEPUEDE",0,"EN - Building:All GHG:0:ASP"
