"strategy_id","primary_id","Edgar_Class","CSC.Sector","CSC.Subsector","value","Year","Gas","design_id","future_id","strategy","Code","Contry","source","ids"
6003,69069,"AG - Crops:CO2","Agriculture","AG - Crops",0,2044,"CO2",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:CO2:6003"
6003,69069,"AG - Crops:CO2","Agriculture","AG - Crops",0,2045,"CO2",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:CO2:6003"
6003,69069,"AG - Crops:CO2","Agriculture","AG - Crops",0,2046,"CO2",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:CO2:6003"
6003,69069,"AG - Crops:CO2","Agriculture","AG - Crops",0,2047,"CO2",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:CO2:6003"
6003,69069,"AG - Crops:CO2","Agriculture","AG - Crops",0,2048,"CO2",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:CO2:6003"
6003,69069,"AG - Crops:CO2","Agriculture","AG - Crops",0,2049,"CO2",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:CO2:6003"
6003,69069,"AG - Crops:CO2","Agriculture","AG - Crops",0,2050,"CO2",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:CO2:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",17.3244708292503,2022,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",17.4415836794149,2023,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",17.5612666701768,2024,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",17.6833937104068,2025,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",17.8080313999614,2026,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",17.9351792009694,2027,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.103342048635,2028,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.1933493438624,2029,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.2933349576228,2030,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.3913623852286,2031,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.4866517657907,2032,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.5787650117299,2033,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.6672921299946,2034,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.7521022551493,2035,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.8332067314759,2036,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.9105351361741,2037,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",18.9839620842954,2038,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.053480182482,2039,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.1189354552467,2040,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.1804262904146,2041,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.2376714452354,2042,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.2913255264344,2043,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.3404007503807,2044,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.384742239269,2045,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.424235602984,2046,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.4587478115778,2047,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.488192072132,2048,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.5125926967498,2049,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Crops:N2O","Agriculture","AG - Crops",19.5319728870077,2050,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Crops:N2O:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",20.2105458426136,2022,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",20.370888362331,2023,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",20.6522217971408,2024,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",20.9375756235155,2025,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",21.5856600530413,2026,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",22.2425957949347,2027,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",23.4197106633182,2028,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",24.5376381432117,2029,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",25.5902444171393,2030,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",26.4356229669776,2031,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",27.201958449393,2032,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",27.8849048069279,2033,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",28.4805519057582,2034,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",28.9853294610579,2035,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",29.406551791428,2036,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",29.7302979655875,2037,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",29.95407705798,2038,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",30.0757197238456,2039,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",30.0935103230217,2040,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",30.0161435221838,2041,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",29.8316620308092,2042,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",29.5390758860694,2043,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",29.1383536086821,2044,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",28.6295453570871,2045,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",28.0517432996882,2046,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",27.360554685293,2047,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",26.5559011240728,2048,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",25.6379871705266,2049,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:CH4","Agriculture","AG - Livestock",24.6072965473943,2050,"CH4",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:CH4:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.303048191364131,2022,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.30494477212596,2023,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.307591580832101,2024,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.31018182948388,2025,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.318475580262845,2026,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.326775666537871,2027,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.337381391916227,2028,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.346838757972379,2029,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.355162779322872,2030,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.361479064462968,2031,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
6003,69069,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.366675362282562,2032,"N2O",0,0,"BAU + NDC","UGA","uganda","SISEPUEDE","AG - Livestock:N2O:6003"
