sector,subsector,field,model_variable,category_value,category_name,gas,gas_name,subsector_total_field,model_variable_information
AFOLU,Forest,emission_co2e_co2_frst_sequestration_mangroves,:math:\text{CO}_2 Emissions from Forest Sequestration,mangroves,cat_forest,co2,Carbon Dioxide,emission_co2e_subsector_total_frst,Sequestration in forests modeled as negative emissions
AFOLU,Forest,emission_co2e_co2_frst_sequestration_primary,:math:\text{CO}_2 Emissions from Forest Sequestration,primary,cat_forest,co2,Carbon Dioxide,emission_co2e_subsector_total_frst,Sequestration in forests modeled as negative emissions
AFOLU,Forest,emission_co2e_co2_frst_sequestration_secondary,:math:\text{CO}_2 Emissions from Forest Sequestration,secondary,cat_forest,co2,Carbon Dioxide,emission_co2e_subsector_total_frst,Sequestration in forests modeled as negative emissions
AFOLU,Land Use,emission_co2e_ch4_lndu_wetlands,:math:\text{CH}_4 Emissions from Wetlands,,,ch4,Methane,emission_co2e_subsector_total_lndu,
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_croplands,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,croplands,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_forests_mangroves,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,forests_mangroves,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_forests_primary,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,forests_primary,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_forests_secondary,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,forests_secondary,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_grasslands,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,grasslands,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_other,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,other,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_settlements,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,settlements,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Land Use,emission_co2e_co2_lndu_conversion_away_wetlands,:math:\text{CO}_2 Emissions from Conversion Away from Land Use Type,wetlands,cat_landuse,co2,Carbon Dioxide,emission_co2e_subsector_total_lndu,Emissions calculated by converting away from each land use type
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_buffalo,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,buffalo,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_cattle_dairy,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,cattle_dairy,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_cattle_nondairy,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,cattle_nondairy,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_chickens,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,chickens,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_goats,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,goats,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_horses,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,horses,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_mules,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,mules,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_pigs,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,pigs,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock,emission_co2e_ch4_lvst_entferm_sheep,:math:\text{CH}_4 Emissions from Livestock Enteric Fermentation,sheep,cat_livestock,ch4,Methane,emission_co2e_subsector_total_lvst,Methane emissions from enteric fermentation
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_anaerobic_digester,:math:\text{CH}_4 Emissions from Manure Management,anaerobic_digester,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_anaerobic_lagoon,:math:\text{CH}_4 Emissions from Manure Management,anaerobic_lagoon,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_composting,:math:\text{CH}_4 Emissions from Manure Management,composting,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_daily_spread,:math:\text{CH}_4 Emissions from Manure Management,daily_spread,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_deep_bedding,:math:\text{CH}_4 Emissions from Manure Management,deep_bedding,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_dry_lot,:math:\text{CH}_4 Emissions from Manure Management,dry_lot,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_incineration,:math:\text{CH}_4 Emissions from Manure Management,incineration,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_liquid_slurry,:math:\text{CH}_4 Emissions from Manure Management,liquid_slurry,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_paddock_pasture_range,:math:\text{CH}_4 Emissions from Manure Management,paddock_pasture_range,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_poultry_manure,:math:\text{CH}_4 Emissions from Manure Management,poultry_manure,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_ch4_lsmm_storage_solid,:math:\text{CH}_4 Emissions from Manure Management,storage_solid,cat_manure_management,ch4,Methane,emission_co2e_subsector_total_lsmm,Methane emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_anaerobic_digester,:math:\text{N}_2\text{O} Emissions from Manure Management,anaerobic_digester,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_anaerobic_lagoon,:math:\text{N}_2\text{O} Emissions from Manure Management,anaerobic_lagoon,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_composting,:math:\text{N}_2\text{O} Emissions from Manure Management,composting,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_daily_spread,:math:\text{N}_2\text{O} Emissions from Manure Management,daily_spread,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_deep_bedding,:math:\text{N}_2\text{O} Emissions from Manure Management,deep_bedding,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
AFOLU,Livestock Manure Management,emission_co2e_n2o_lsmm_dry_lot,:math:\text{N}_2\text{O} Emissions from Manure Management,dry_lot,cat_manure_management,n2o,Nitrus Oxide,emission_co2e_subsector_total_lsmm,Nitrus oxide emissions from manure
