iso_code3,region,source,Year,total,target_CO2total_ce,target_CO2total_ippu,target_CO2total_agrc,target_CO2total_lndu,target_CO2total_scoe,target_CO2total_trns,target_CO2total_inen,target_CO2total_entc,target_CO2total_fgtv,target_CO2total_frst,target_CH4total_ce,target_CH4total_ippu,target_CH4total_agrc,target_CH4total_lndu,target_CH4total_scoe,target_CH4total_trns,target_CH4total_inen,target_CH4total_entc,target_CH4total_fgtv,target_CH4total_frst
IND,india,CAIT,2020,"3,166.95",85.35,149.37,741.92,111.13,162.49,276.44,574.28,1121.98,88.99,-145,0.83,0.18451,0.6768,0.01514,0.20137,0.00506,0.00624,0.00078,0.96651,0
IND,india,CCDR,2016,"2,530.00",75,226,408,280,210.1727105,249.4125324,480.9356056,1026.832208,161.6469432,-588,0.30214,0.00046,0.50058,0,0.17078,0.00443,0,0,0.27793,0.00001
IND,india,EDGAR,2022,"3,635.31",239.82,292.93,789.89,0.01,258.7,307,591.98,1263.92,198.97,-307.91,0.93,0.00126,0.71,0.001,0.15,0.006,0.006,0.0007,0.496,0.00001
IND,india,GMI,2022,"3,635.31",239.82,292.93,789.89,0.01,258.7,307,591.98,1263.92,198.97,-307.91,0.30214,0.00046,0.50058,0,0.17078,0.00443,0,0,0.27793,0.00001
ARM,armenia,CAIT,2020,9.83,0.74,0.59,1.73,0.848,1.6,2.35,0.45,1.44,0.89,-0.808,0.92,0.000001,0.39,0.000001,0.02,0.02,0.000001,0.000001,0.99,0.000001
GEO,georgia,CAIT,2017,12.87,3.21,1.9,2.05,0.12,2.35,3.98,2.25,1.1,0.93,-5.02,0.978193146,0.000001,0.565853659,0.000001,0.05106383,0.010050251,0.000001,0.000001,0.99,0.000001
GEO,georgia,NationalData,2017,14.2,1.562,1.99,3.488,0.12,2.13,4.1,2.9,1.53,1.4,-5.02,0.978193146,0.000001,0.565853659,0.000001,0.05106383,0.010050251,0.000001,0.000001,0.99,0.000001
UGA,uganda,CAIT,2020,53.790001,2.06,0.55,28.57,23.45021566,2.63,3.49,2.1,0.06,0.000001,-9.120215661,0.786407767,0.000001,0.600280014,0.261414042,0.855513308,0.005730659,0.061904762,0.000001,0.000001,0.67106041
